670,826
690,747
678,772
669,663
693,721
693,687
687,607
492,593
688,542
691,507
695,377
668,837
666,845
663,848
663,854
663,864
662,877
660,891
655,915
686,760
661,756
385,483
565,621
539,621
515,617
481,601
588,616
538,553
565,556
512,555
493,562
459,614
561,952
483,586
370,596
429,595
546,717
639,820
637,842
604,823
578,828
612,841
590,839
541,862
670,745
670,720
452,528
602,659
605,734
602,720
463,710
671,689
522,504
482,510
420,436
634,534
588,566
523,837
379,833
621,749
642,758
547,835
557,835
466,491
601,744
572,510
569,487
542,379
444,463
559,431
434,515
410,500
638,833
609,834
585,834
627,753
552,835
565,843
560,835
639,742
593,837
614,841
638,844
622,912
629,887
632,872
635,860
637,852
590,843
586,846
581,852
577,861
561,802
354,709
682,765
575,841
571,841
648,769
606,758
646,764
572,672
528,685
595,730
470,401
492,438
513,480
562,882
630,497
624,434
615,373
493,611
429,630
603,609
462,566
622,644
624,726
398,645
448,648
483,659
533,659
570,652
599,642
662,612
399,698
439,559
675,758
605,683
352,593
621,629
590,731
474,586
622,710
361,770
603,600
646,697
447,893
443,920
366,705
412,859
389,545
555,975
674,763
579,700
403,598
518,603
540,608
559,848
399,750
596,1006
521,975
486,953
694,441
641,1010
562,608
583,605
596,602
417,552
581,580
560,572
538,569
516,571
500,577
364,532
503,598
674,789
589,791
622,745
641,789
686,574
485,925
519,951
598,992
408,883
597,592
645,651
647,996
557,993
372,761
612,847
608,853
605,862
601,876
589,900
570,837
564,834
557,831
536,817
435,764
643,627
626,580
608,585
574,834
427,823
651,577
573,926
691,660
666,639
689,635
625,689
650,974
653,943
612,941
518,876
565,750
543,904
500,744
536,772
472,782
603,970
607,702
496,897
528,926
498,844
402,793
463,850
384,813
509,800
625,667
632,738
612,742
647,722
607,558
568,541
533,535
501,537
476,547
454,590
365,650
473,626
501,635
535,639
568,635
594,628
613,620
352,651
611,748
647,673
652,740
662,753
650,744
616,756
667,756
666,761
612,602
627,606
637,610
491,582
478,571
709,665
840,613
701,759
906,521
772,634
796,637
817,636
844,622
753,626
808,570
783,571
831,574
844,584
859,639
729,956
846,607
903,630
880,623
786,732
698,823
690,846
724,830
739,838
709,847
724,848
755,874
708,747
714,723
882,555
744,669
749,742
749,729
851,733
712,691
838,524
866,534
897,472
738,541
760,578
776,852
841,853
731,755
711,762
754,849
743,848
879,517
746,753
796,525
803,502
825,402
889,494
813,450
893,544
901,533
695,837
716,840
732,843
724,759
749,848
739,854
740,847
725,747
718,846
703,847
685,847
685,915
688,890
689,875
688,863
686,854
721,852
724,854
728,861
731,869
761,814
875,738
729,851
734,851
704,773
735,767
707,768
766,684
803,702
750,740
873,432
862,465
848,503
737,891
749,506
759,445
768,386
835,632
878,658
741,618
865,591
730,651
740,733
894,676
866,674
840,682
799,676
767,665
744,651
707,615
890,727
881,587
697,759
742,692
897,629
729,636
749,741
852,609
740,717
861,795
741,609
727,701
811,906
796,931
892,734
838,877
902,579
727,978
691,764
759,711
893,628
819,622
798,624
744,859
879,776
684,1007
741,978
765,959
778,622
759,616
747,612
894,582
762,591
782,585
803,585
823,589
835,597
906,570
832,618
743,800
733,752
704,792
780,934
753,956
691,994
819,899
747,601
721,656
715,995
878,787
706,853
709,859
711,869
712,882
714,905
736,848
743,846
750,843
774,831
859,787
718,632
728,587
739,594
730,845
845,843
713,582
722,931
709,642
733,696
689,943
771,887
766,762
747,913
820,763
785,787
831,802
694,973
741,710
783,907
755,933
795,859
865,816
817,866
861,835
798,817
731,674
733,744
742,750
728,727
749,567
788,555
820,554
846,559
861,570
864,615
901,682
848,649
826,655
797,655
769,648
747,638
733,628
885,684
739,756
723,678
721,744
705,755
718,748
731,763
703,758
697,763
734,610
722,613
718,615
842,602
853,594
